,customer_id,basket,date_of_purchase
169,C75,"[{'product_id': 'P57', 'price': 1136}, {'product_id': 'P47', 'price': 100}]",2019-02-23 14:58:00
170,C74,"[{'product_id': 'P30', 'price': 1599}, {'product_id': 'P29', 'price': 473}]",2019-02-23 21:34:00
171,C70,"[{'product_id': 'P27', 'price': 1471}, {'product_id': 'P23', 'price': 155}]",2019-02-23 22:11:00
172,C66,"[{'product_id': 'P24', 'price': 540}, {'product_id': 'P26', 'price': 1576}]",2019-02-23 11:33:00
173,C65,"[{'product_id': 'P37', 'price': 1608}, {'product_id': 'P36', 'price': 430}, {'product_id': 'P38', 'price': 1079}]",2019-02-23 13:49:00
174,C61,"[{'product_id': 'P26', 'price': 958}]",2019-02-23 05:51:00
175,C56,"[{'product_id': 'P35', 'price': 703}, {'product_id': 'P37', 'price': 362}, {'product_id': 'P36', 'price': 449}]",2019-02-23 13:26:00
176,C53,"[{'product_id': 'P53', 'price': 1040}]",2019-02-23 16:30:00
177,C51,"[{'product_id': 'P23', 'price': 895}]",2019-02-23 06:40:00
178,C43,"[{'product_id': 'P09', 'price': 840}, {'product_id': 'P04', 'price': 1782}]",2019-02-23 16:15:00
179,C41,"[{'product_id': 'P36', 'price': 1582}]",2019-02-23 17:57:00
180,C34,"[{'product_id': 'P46', 'price': 651}, {'product_id': 'P48', 'price': 1106}, {'product_id': 'P53', 'price': 679}]",2019-02-23 10:03:00
181,C33,"[{'product_id': 'P39', 'price': 1261}]",2019-02-23 03:07:00
182,C28,"[{'product_id': 'P50', 'price': 1763}]",2019-02-23 03:39:00
183,C26,"[{'product_id': 'P23', 'price': 528}, {'product_id': 'P31', 'price': 983}]",2019-02-23 22:03:00
184,C25,"[{'product_id': 'P38', 'price': 1026}, {'product_id': 'P39', 'price': 1094}]",2019-02-23 15:57:00
185,C18,"[{'product_id': 'P26', 'price': 893}, {'product_id': 'P25', 'price': 1058}, {'product_id': 'P28', 'price': 33}]",2019-02-23 02:52:00
186,C135,"[{'product_id': 'P39', 'price': 1927}, {'product_id': 'P36', 'price': 1094}]",2019-02-22 08:48:00
187,C133,"[{'product_id': 'P57', 'price': 1049}, {'product_id': 'P54', 'price': 147}, {'product_id': 'P49', 'price': 827}]",2019-02-22 07:49:00
188,C127,"[{'product_id': 'P06', 'price': 464}, {'product_id': 'P11', 'price': 422}, {'product_id': 'P09', 'price': 571}]",2019-02-22 12:57:00
189,C126,"[{'product_id': 'P39', 'price': 1933}, {'product_id': 'P37', 'price': 1964}]",2019-02-22 10:28:00
190,C125,"[{'product_id': 'P28', 'price': 74}, {'product_id': 'P22', 'price': 75}, {'product_id': 'P34', 'price': 906}]",2019-02-22 10:41:00
191,C113,"[{'product_id': 'P31', 'price': 430}, {'product_id': 'P27', 'price': 145}, {'product_id': 'P26', 'price': 1725}]",2019-02-22 17:21:00
192,C112,"[{'product_id': 'P04', 'price': 343}, {'product_id': 'P01', 'price': 405}, {'product_id': 'P06', 'price': 1318}]",2019-02-22 17:55:00
193,C109,"[{'product_id': 'P44', 'price': 397}, {'product_id': 'P43', 'price': 309}, {'product_id': 'P56', 'price': 1055}]",2019-02-22 19:27:00
194,C108,"[{'product_id': 'P04', 'price': 984}]",2019-02-22 22:12:00
195,C104,"[{'product_id': 'P64', 'price': 1067}, {'product_id': 'P64', 'price': 436}, {'product_id': 'P64', 'price': 622}]",2019-02-22 11:18:00
196,C103,"[{'product_id': 'P33', 'price': 1184}, {'product_id': 'P30', 'price': 1943}, {'product_id': 'P23', 'price': 1288}]",2019-02-22 13:32:00
197,C88,"[{'product_id': 'P44', 'price': 1380}]",2019-02-22 03:36:00
198,C83,"[{'product_id': 'P41', 'price': 222}]",2019-02-22 10:03:00
199,C71,"[{'product_id': 'P37', 'price': 1190}, {'product_id': 'P40', 'price': 586}]",2019-02-22 21:57:00
200,C67,"[{'product_id': 'P57', 'price': 1838}]",2019-02-22 21:45:00
201,C56,"[{'product_id': 'P63', 'price': 1387}, {'product_id': 'P61', 'price': 510}]",2019-02-22 17:49:00
202,C54,"[{'product_id': 'P30', 'price': 1376}, {'product_id': 'P23', 'price': 1614}]",2019-02-22 14:37:00
203,C53,"[{'product_id': 'P60', 'price': 1042}, {'product_id': 'P42', 'price': 199}, {'product_id': 'P49', 'price': 106}]",2019-02-22 20:58:00
204,C44,"[{'product_id': 'P43', 'price': 805}, {'product_id': 'P49', 'price': 1087}, {'product_id': 'P53', 'price': 1006}]",2019-02-22 17:03:00
205,C40,"[{'product_id': 'P47', 'price': 607}]",2019-02-22 20:06:00
206,C28,"[{'product_id': 'P49', 'price': 1782}]",2019-02-22 20:13:00
207,C23,"[{'product_id': 'P64', 'price': 595}]",2019-02-22 07:57:00
208,C8,"[{'product_id': 'P57', 'price': 161}]",2019-02-22 10:08:00
209,C129,"[{'product_id': 'P41', 'price': 1271}]",2019-02-21 12:49:00
210,C122,"[{'product_id': 'P38', 'price': 1697}, {'product_id': 'P36', 'price': 255}, {'product_id': 'P40', 'price': 832}]",2019-02-21 07:35:00
211,C118,"[{'product_id': 'P49', 'price': 802}]",2019-02-21 07:13:00
212,C114,"[{'product_id': 'P34', 'price': 565}]",2019-02-21 12:59:00
213,C99,"[{'product_id': 'P22', 'price': 776}, {'product_id': 'P29', 'price': 484}]",2019-02-21 13:47:00
214,C83,"[{'product_id': 'P39', 'price': 983}, {'product_id': 'P39', 'price': 1821}, {'product_id': 'P39', 'price': 1010}]",2019-02-21 17:32:00
215,C80,"[{'product_id': 'P26', 'price': 1373}, {'product_id': 'P26', 'price': 1397}, {'product_id': 'P30', 'price': 1202}]",2019-02-21 05:53:00
216,C75,"[{'product_id': 'P32', 'price': 1933}, {'product_id': 'P22', 'price': 1245}, {'product_id': 'P34', 'price': 181}]",2019-02-21 12:10:00
217,C70,"[{'product_id': 'P22', 'price': 1471}]",2019-02-21 09:20:00
218,C69,"[{'product_id': 'P07', 'price': 1575}, {'product_id': 'P10', 'price': 1004}]",2019-02-21 07:40:00
219,C67,"[{'product_id': 'P02', 'price': 1969}, {'product_id': 'P08', 'price': 1996}, {'product_id': 'P11', 'price': 71}]",2019-02-21 06:09:00
220,C55,"[{'product_id': 'P63', 'price': 37}]",2019-02-21 22:42:00
221,C53,"[{'product_id': 'P24', 'price': 1005}, {'product_id': 'P33', 'price': 240}, {'product_id': 'P29', 'price': 1682}]",2019-02-21 05:43:00
222,C51,"[{'product_id': 'P32', 'price': 907}, {'product_id': 'P25', 'price': 376}, {'product_id': 'P34', 'price': 1901}]",2019-02-21 03:32:00
223,C45,"[{'product_id': 'P64', 'price': 24}, {'product_id': 'P63', 'price': 676}, {'product_id': 'P63', 'price': 1513}]",2019-02-21 06:49:00
224,C44,"[{'product_id': 'P34', 'price': 814}, {'product_id': 'P31', 'price': 1377}]",2019-02-21 06:10:00
225,C39,"[{'product_id': 'P42', 'price': 368}, {'product_id': 'P59', 'price': 45}, {'product_id': 'P60', 'price': 92}]",2019-02-21 13:21:00
226,C28,"[{'product_id': 'P45', 'price': 658}]",2019-02-21 09:53:00
227,C25,"[{'product_id': 'P23', 'price': 539}, {'product_id': 'P27', 'price': 1711}]",2019-02-21 06:29:00
